序号,关卡ID,内容,选项,答案,类型
197,3016,武功再高，也怕_？,羊刀|吹风|黑皇杖|买活,1|0|0|0,0
198,3016,《炉石传说》砰砰博士的费用是几？,7|8|9|10,1|0|0|0,0
199,3017,武藤游戏的神器是什么？,千年积木|千年智慧轮|千年眼|千年钥匙,1|0|0|0,0
200,3017,游戏《战神3》的最终BOSS是？,宙斯|赫拉|波塞冬|哈迪斯,1|0|0|0,0
201,3017,游戏《最终幻想7》男主角是？,克劳德|洛克|提达|斯诺,1|0|0|0,0
202,3018,游戏系列《忍者龙剑传》的男主角的名字是？,隼龙|忍龙|红叶|战龙,1|0|0|0,0
203,3018,《圣斗士星矢》中黄金圣斗士的禁招是？,雅典娜之惊叹|曙光女神之宽恕|天舞宝轮|阿修罗,1|0|0|0,0
204,3018,游戏《街头霸王》中春丽的姓氏是？,张|春|李|赵,1|0|0|0,0
205,3019,雇佣兵“米山”出自以下哪一款游戏？,暗黑破坏神|刺客信条|帝国时代|魔兽世界,1|0|0|0,0
206,3019,“太阁立志传5”中，文武全才指的是谁？,西园寺|织田信长|丰臣秀吉|宁宁,1|0|0|0,0
207,3019,“要致富，先撸树”出自以下哪款游戏？,我的世界|饥荒|魔兽争霸3|岛屿部落,1|0|0|0,0
208,3020,“来局昆特牌吧”这句话出自？,巫师|巫师之昆特牌|刺客信条|上古卷轴,1|0|0|0,0
209,3020,“直到我膝盖中了一箭”这句话出自？,上古卷轴|古墓丽影|生化危机|合金装备,1|0|0|0,0
210,3020,人们常说的“再来一回合”说的是哪个游戏？,文明|帝国时代|命令与征服|魔兽争霸,1|0|0|0,0
211,3021,“脸滚键盘”这一词起源于哪一款游戏？,魔兽世界|剑网3|地下城与勇士|永恒之塔,1|0|0|0,0
212,3021,“飞龙骑脸怎么输”是谁的名言？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
213,3021,被玩家称为“血色狗男女”中的“男”是谁？,莫格莱尼|怀特迈恩|阿尔萨斯|吉恩·格雷迈恩,1|0|0|0,0
214,3022,“敌羞吾去脱她衣”这句话出自以下哪一款游戏？,真·三国无双|无双大蛇|三国志|三国：全面战争,1|0|0|0,0
215,3022,游戏“魔兽争霸3”中，高维修费用的人口下限是？,81|71|61|51,1|0|0|0,0
216,3022,游戏“魔兽争霸3”中，低维修费用的人口下限是？,51|61|71|81,1|0|0|0,0
217,3023,“上上下下左右左右BA”出自以下哪款游戏？,魂斗罗|超级马里奥|双截龙|恶魔城,1|0|0|0,0
218,3023,以下哪一个选项是“魔兽争霸3”的无敌作弊码？,whosyourdaddy|greedisgood|thereisnospoon|motherland,1|0|0|0,0
219,3023,“超级马里奥”中马里奥的双胞胎弟弟是？,路易基|瓦路易基|瓦里奥|奇里奥,1|0|0|0,0
220,3024,“塞尔达传说”的主角叫什么？,林克|塞尔达|米特娜|卓玛,1|0|0|0,0
221,3024,“电竞毒奶”指的是谁？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
222,3024,《魔兽争霸3》游戏中，被玩家们称作为“塔魔”的中国选手是？,infi|moon|sky|grubby,1|0|0|0,0
223,3025,众所周知，枪骑兵（lancer）的幸运等级是？,E|B|C|D,1|0|0|0,0
224,3025,游戏《无尽秘境》中，“精灵法师”的性别是？,女|男,1|0,0
225,3025,游戏《无尽秘境》中，一件装备最多强化多少次？,10|5|20|15,1|0|0|0,0
226,3026,游戏《无尽秘境》中，强化装备的结果，可能出现几种情况？,5|4|3|2,1|0|0|0,0
227,3026,游戏《无尽秘境》中，“帝国生命恢复药剂”恢复的血量为？,20000|30000|500|1000,1|0|0|0,0
228,3026,你会将本游戏？,推荐给朋友|不管不顾,1|0,0
229,3027,“大吉大利，晚上吃鸡”这句话最早出现于？,决胜21点|绝地求生|英雄联盟|堡垒之夜,1|0|0|0,0
230,3027,游戏《以撒的结合》中，以撒妈妈的高跟鞋是什么颜色的？,红色|黑色|绿色|棕色,1|0|0|0,0
231,3027,《刀剑神域》中，桐人的黑剑叫什么名字？,阐释者|逐暗者|闪烁之光|时穿剑,1|0|0|0,0
232,3028,《刀剑神域》中，桐人的白剑叫什么名字？,逐暗者|阐释者|闪烁之光|时穿剑,1|0|0|0,0
233,3028,鲁鲁修的geass是左眼还是右眼？,左眼|右眼,1|0,0
234,3028,鲁鲁修的机甲叫什么名字？,高文|兰斯洛特|格拉海德|莫德雷德,1|0|0|0,0
235,3029,真男人从不回头看什么？,爆炸|车祸|雪崩|海浪,1|0|0|0,0
236,3029,圣斗士星矢的大招是什么？,天马流星拳|庐山升龙霸|风翼天翔|钻石星尘,1|0|0|0,0
237,3029,小说《斗破苍穹》中，最高等级是？,斗帝|斗神|斗圣|斗尊,1|0|0|0,0
238,3030,wow中，穆拉丁是什么职业？,战士|圣骑士|法师|山丘之王,1|0|0|0,0
239,3030,薛定谔的_?,猫|狗|猪|鼠,1|0|0|0,0
240,3030,死亡笔记的笔记本是横开的还是竖开的？,横开|竖开,1|0,0
241,4001,星际争霸的人口上限为多少？,200|100|150|188,1|0|0|0,0
242,4001,魔兽争霸的人口上限为多少？,100|80|200|150,1|0|0|0,0
243,4001,“ACGN”中的A代表什么？,Animation|Art|Amazing,1|0|0|0,0
244,4002,“ACGN”中的C代表什么？,Comic|Cute|Clever,1|0|0,0
245,4002,“ACGN”中的G代表什么？,Game|Green|Golf,1|0|0,0
246,4002,“ACGN”中的N代表什么？,Novel|Nature|National,1|0|0,0
247,4003,手握炉石开圣盾，老子已经_?,天下无敌|火力全开|毁天灭地|无人能挡,1|0|0|0,0
248,4003,武功再高，也怕_？,羊刀|吹风|黑皇杖|买活,1|0|0|0,0
249,4003,《炉石传说》砰砰博士的费用是几？,7|8|9|10,1|0|0|0,0
250,4004,武藤游戏的神器是什么？,千年积木|千年智慧轮|千年眼|千年钥匙,1|0|0|0,0
251,4004,游戏《战神3》的最终BOSS是？,宙斯|赫拉|波塞冬|哈迪斯,1|0|0|0,0
252,4004,游戏《最终幻想7》男主角是？,克劳德|洛克|提达|斯诺,1|0|0|0,0
253,4005,游戏系列《忍者龙剑传》的男主角的名字是？,隼龙|忍龙|红叶|战龙,1|0|0|0,0
254,4005,《圣斗士星矢》中黄金圣斗士的禁招是？,雅典娜之惊叹|曙光女神之宽恕|天舞宝轮|阿修罗,1|0|0|0,0
255,4005,游戏《街头霸王》中春丽的姓氏是？,张|春|李|赵,1|0|0|0,0
256,4006,雇佣兵“米山”出自以下哪一款游戏？,暗黑破坏神|刺客信条|帝国时代|魔兽世界,1|0|0|0,0
257,4006,“太阁立志传5”中，文武全才指的是谁？,西园寺|织田信长|丰臣秀吉|宁宁,1|0|0|0,0
258,4006,“要致富，先撸树”出自以下哪款游戏？,我的世界|饥荒|魔兽争霸3|岛屿部落,1|0|0|0,0
259,4007,“来局昆特牌吧”这句话出自？,巫师|巫师之昆特牌|刺客信条|上古卷轴,1|0|0|0,0
260,4007,“直到我膝盖中了一箭”这句话出自？,上古卷轴|古墓丽影|生化危机|合金装备,1|0|0|0,0
261,4007,人们常说的“再来一回合”说的是哪个游戏？,文明|帝国时代|命令与征服|魔兽争霸,1|0|0|0,0
262,4008,“脸滚键盘”这一词起源于哪一款游戏？,魔兽世界|剑网3|地下城与勇士|永恒之塔,1|0|0|0,0
263,4008,“飞龙骑脸怎么输”是谁的名言？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
264,4008,被玩家称为“血色狗男女”中的“男”是谁？,莫格莱尼|怀特迈恩|阿尔萨斯|吉恩·格雷迈恩,1|0|0|0,0
265,4009,“敌羞吾去脱她衣”这句话出自以下哪一款游戏？,真·三国无双|无双大蛇|三国志|三国：全面战争,1|0|0|0,0
266,4009,游戏“魔兽争霸3”中，高维修费用的人口下限是？,81|71|61|51,1|0|0|0,0
267,4009,游戏“魔兽争霸3”中，低维修费用的人口下限是？,51|61|71|81,1|0|0|0,0
268,4010,“上上下下左右左右BA”出自以下哪款游戏？,魂斗罗|超级马里奥|双截龙|恶魔城,1|0|0|0,0
269,4010,以下哪一个选项是“魔兽争霸3”的无敌作弊码？,whosyourdaddy|greedisgood|thereisnospoon|motherland,1|0|0|0,0
270,4010,“超级马里奥”中马里奥的双胞胎弟弟是？,路易基|瓦路易基|瓦里奥|奇里奥,1|0|0|0,0
271,4011,“塞尔达传说”的主角叫什么？,林克|塞尔达|米特娜|卓玛,1|0|0|0,0
272,4011,“电竞毒奶”指的是谁？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
273,4011,《魔兽争霸3》游戏中，被玩家们称作为“塔魔”的中国选手是？,infi|moon|sky|grubby,1|0|0|0,0
274,4012,众所周知，枪骑兵（lancer）的幸运等级是？,E|B|C|D,1|0|0|0,0
275,4012,游戏《无尽秘境》中，“精灵法师”的性别是？,女|男,1|0,0
276,4012,游戏《无尽秘境》中，一件装备最多强化多少次？,10|5|20|15,1|0|0|0,0
277,4013,游戏《无尽秘境》中，强化装备的结果，可能出现几种情况？,5|4|3|2,1|0|0|0,0
278,4013,游戏《无尽秘境》中，“帝国生命恢复药剂”恢复的血量为？,20000|30000|500|1000,1|0|0|0,0
279,4013,你会将本游戏？,推荐给朋友|不管不顾,1|0,0
280,4014,“大吉大利，晚上吃鸡”这句话最早出现于？,决胜21点|绝地求生|英雄联盟|堡垒之夜,1|0|0|0,0
281,4014,游戏《以撒的结合》中，以撒妈妈的高跟鞋是什么颜色的？,红色|黑色|绿色|棕色,1|0|0|0,0
282,4014,《刀剑神域》中，桐人的黑剑叫什么名字？,阐释者|逐暗者|闪烁之光|时穿剑,1|0|0|0,0
283,4015,《刀剑神域》中，桐人的白剑叫什么名字？,逐暗者|阐释者|闪烁之光|时穿剑,1|0|0|0,0
284,4015,鲁鲁修的geass是左眼还是右眼？,左眼|右眼,1|0,0
285,4015,鲁鲁修的机甲叫什么名字？,高文|兰斯洛特|格拉海德|莫德雷德,1|0|0|0,0
286,4016,真男人从不回头看什么？,爆炸|车祸|雪崩|海浪,1|0|0|0,0
287,4016,圣斗士星矢的大招是什么？,天马流星拳|庐山升龙霸|风翼天翔|钻石星尘,1|0|0|0,0
288,4016,小说《斗破苍穹》中，最高等级是？,斗帝|斗神|斗圣|斗尊,1|0|0|0,0
289,4017,wow中，穆拉丁是什么职业？,战士|圣骑士|法师|山丘之王,1|0|0|0,0
290,4017,薛定谔的_?,猫|狗|猪|鼠,1|0|0|0,0
291,4017,死亡笔记的笔记本是横开的还是竖开的？,横开|竖开,1|0,0
292,4018,星际争霸的人口上限为多少？,200|100|150|188,1|0|0|0,0
293,4018,魔兽争霸的人口上限为多少？,100|80|200|150,1|0|0|0,0
294,4018,“ACGN”中的A代表什么？,Animation|Art|Amazing,1|0|0|0,0
295,4019,“ACGN”中的C代表什么？,Comic|Cute|Clever,1|0|0,0
296,4019,“ACGN”中的G代表什么？,Game|Green|Golf,1|0|0,0
297,4019,“ACGN”中的N代表什么？,Novel|Nature|National,1|0|0,0
298,4020,手握炉石开圣盾，老子已经_?,天下无敌|火力全开|毁天灭地|无人能挡,1|0|0|0,0
299,4020,武功再高，也怕_？,羊刀|吹风|黑皇杖|买活,1|0|0|0,0
300,4020,《炉石传说》砰砰博士的费用是几？,7|8|9|10,1|0|0|0,0
301,4021,武藤游戏的神器是什么？,千年积木|千年智慧轮|千年眼|千年钥匙,1|0|0|0,0
302,4021,游戏《战神3》的最终BOSS是？,宙斯|赫拉|波塞冬|哈迪斯,1|0|0|0,0
303,4021,游戏《最终幻想7》男主角是？,克劳德|洛克|提达|斯诺,1|0|0|0,0
304,4022,游戏系列《忍者龙剑传》的男主角的名字是？,隼龙|忍龙|红叶|战龙,1|0|0|0,0
305,4022,《圣斗士星矢》中黄金圣斗士的禁招是？,雅典娜之惊叹|曙光女神之宽恕|天舞宝轮|阿修罗,1|0|0|0,0
306,4022,游戏《街头霸王》中春丽的姓氏是？,张|春|李|赵,1|0|0|0,0
307,4023,雇佣兵“米山”出自以下哪一款游戏？,暗黑破坏神|刺客信条|帝国时代|魔兽世界,1|0|0|0,0
308,4023,“太阁立志传5”中，文武全才指的是谁？,西园寺|织田信长|丰臣秀吉|宁宁,1|0|0|0,0
309,4023,“要致富，先撸树”出自以下哪款游戏？,我的世界|饥荒|魔兽争霸3|岛屿部落,1|0|0|0,0
310,4024,“来局昆特牌吧”这句话出自？,巫师|巫师之昆特牌|刺客信条|上古卷轴,1|0|0|0,0
311,4024,“直到我膝盖中了一箭”这句话出自？,上古卷轴|古墓丽影|生化危机|合金装备,1|0|0|0,0
312,4024,人们常说的“再来一回合”说的是哪个游戏？,文明|帝国时代|命令与征服|魔兽争霸,1|0|0|0,0
313,4025,“脸滚键盘”这一词起源于哪一款游戏？,魔兽世界|剑网3|地下城与勇士|永恒之塔,1|0|0|0,0
314,4025,“飞龙骑脸怎么输”是谁的名言？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
315,4025,被玩家称为“血色狗男女”中的“男”是谁？,莫格莱尼|怀特迈恩|阿尔萨斯|吉恩·格雷迈恩,1|0|0|0,0
316,4026,“敌羞吾去脱她衣”这句话出自以下哪一款游戏？,真·三国无双|无双大蛇|三国志|三国：全面战争,1|0|0|0,0
317,4026,游戏“魔兽争霸3”中，高维修费用的人口下限是？,81|71|61|51,1|0|0|0,0
318,4026,游戏“魔兽争霸3”中，低维修费用的人口下限是？,51|61|71|81,1|0|0|0,0
319,4027,“上上下下左右左右BA”出自以下哪款游戏？,魂斗罗|超级马里奥|双截龙|恶魔城,1|0|0|0,0
320,4027,以下哪一个选项是“魔兽争霸3”的无敌作弊码？,whosyourdaddy|greedisgood|thereisnospoon|motherland,1|0|0|0,0
321,4027,“超级马里奥”中马里奥的双胞胎弟弟是？,路易基|瓦路易基|瓦里奥|奇里奥,1|0|0|0,0
322,4028,“塞尔达传说”的主角叫什么？,林克|塞尔达|米特娜|卓玛,1|0|0|0,0
323,4028,“电竞毒奶”指的是谁？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
324,4028,《魔兽争霸3》游戏中，被玩家们称作为“塔魔”的中国选手是？,infi|moon|sky|grubby,1|0|0|0,0
325,4029,众所周知，枪骑兵（lancer）的幸运等级是？,E|B|C|D,1|0|0|0,0
326,4029,游戏《无尽秘境》中，“精灵法师”的性别是？,女|男,1|0,0
327,4029,游戏《无尽秘境》中，一件装备最多强化多少次？,10|5|20|15,1|0|0|0,0
328,4030,游戏《无尽秘境》中，强化装备的结果，可能出现几种情况？,5|4|3|2,1|0|0|0,0
329,4030,游戏《无尽秘境》中，“帝国生命恢复药剂”恢复的血量为？,20000|30000|500|1000,1|0|0|0,0
330,4030,你会将本游戏？,推荐给朋友|不管不顾,1|0,0
331,4031,“大吉大利，晚上吃鸡”这句话最早出现于？,决胜21点|绝地求生|英雄联盟|堡垒之夜,1|0|0|0,0
332,4031,游戏《以撒的结合》中，以撒妈妈的高跟鞋是什么颜色的？,红色|黑色|绿色|棕色,1|0|0|0,0
333,4031,《刀剑神域》中，桐人的黑剑叫什么名字？,阐释者|逐暗者|闪烁之光|时穿剑,1|0|0|0,0
334,4032,《刀剑神域》中，桐人的白剑叫什么名字？,逐暗者|阐释者|闪烁之光|时穿剑,1|0|0|0,0
335,4032,鲁鲁修的geass是左眼还是右眼？,左眼|右眼,1|0,0
336,4032,鲁鲁修的机甲叫什么名字？,高文|兰斯洛特|格拉海德|莫德雷德,1|0|0|0,0
337,4033,真男人从不回头看什么？,爆炸|车祸|雪崩|海浪,1|0|0|0,0
338,4033,圣斗士星矢的大招是什么？,天马流星拳|庐山升龙霸|风翼天翔|钻石星尘,1|0|0|0,0
339,4033,小说《斗破苍穹》中，最高等级是？,斗帝|斗神|斗圣|斗尊,1|0|0|0,0
340,4034,wow中，穆拉丁是什么职业？,战士|圣骑士|法师|山丘之王,1|0|0|0,0
341,4034,薛定谔的_?,猫|狗|猪|鼠,1|0|0|0,0
342,4034,死亡笔记的笔记本是横开的还是竖开的？,横开|竖开,1|0,0
343,4035,星际争霸的人口上限为多少？,200|100|150|188,1|0|0|0,0
344,4035,魔兽争霸的人口上限为多少？,100|80|200|150,1|0|0|0,0
345,4035,“ACGN”中的A代表什么？,Animation|Art|Amazing,1|0|0|0,0
346,4036,“ACGN”中的C代表什么？,Comic|Cute|Clever,1|0|0,0
347,4036,“ACGN”中的G代表什么？,Game|Green|Golf,1|0|0,0
348,4036,“ACGN”中的N代表什么？,Novel|Nature|National,1|0|0,0
349,4037,手握炉石开圣盾，老子已经_?,天下无敌|火力全开|毁天灭地|无人能挡,1|0|0|0,0
350,4037,武功再高，也怕_？,羊刀|吹风|黑皇杖|买活,1|0|0|0,0
351,4037,《炉石传说》砰砰博士的费用是几？,7|8|9|10,1|0|0|0,0
352,4038,武藤游戏的神器是什么？,千年积木|千年智慧轮|千年眼|千年钥匙,1|0|0|0,0
353,4038,游戏《战神3》的最终BOSS是？,宙斯|赫拉|波塞冬|哈迪斯,1|0|0|0,0
354,4038,游戏《最终幻想7》男主角是？,克劳德|洛克|提达|斯诺,1|0|0|0,0
355,4039,游戏系列《忍者龙剑传》的男主角的名字是？,隼龙|忍龙|红叶|战龙,1|0|0|0,0
356,4039,《圣斗士星矢》中黄金圣斗士的禁招是？,雅典娜之惊叹|曙光女神之宽恕|天舞宝轮|阿修罗,1|0|0|0,0
357,4039,游戏《街头霸王》中春丽的姓氏是？,张|春|李|赵,1|0|0|0,0
358,4040,雇佣兵“米山”出自以下哪一款游戏？,暗黑破坏神|刺客信条|帝国时代|魔兽世界,1|0|0|0,0
359,4040,“太阁立志传5”中，文武全才指的是谁？,西园寺|织田信长|丰臣秀吉|宁宁,1|0|0|0,0
360,4040,“要致富，先撸树”出自以下哪款游戏？,我的世界|饥荒|魔兽争霸3|岛屿部落,1|0|0|0,0
361,4041,“来局昆特牌吧”这句话出自？,巫师|巫师之昆特牌|刺客信条|上古卷轴,1|0|0|0,0
362,4041,“直到我膝盖中了一箭”这句话出自？,上古卷轴|古墓丽影|生化危机|合金装备,1|0|0|0,0
363,4041,人们常说的“再来一回合”说的是哪个游戏？,文明|帝国时代|命令与征服|魔兽争霸,1|0|0|0,0
364,4042,“脸滚键盘”这一词起源于哪一款游戏？,魔兽世界|剑网3|地下城与勇士|永恒之塔,1|0|0|0,0
365,4042,“飞龙骑脸怎么输”是谁的名言？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
366,4042,被玩家称为“血色狗男女”中的“男”是谁？,莫格莱尼|怀特迈恩|阿尔萨斯|吉恩·格雷迈恩,1|0|0|0,0
367,4043,“敌羞吾去脱她衣”这句话出自以下哪一款游戏？,真·三国无双|无双大蛇|三国志|三国：全面战争,1|0|0|0,0
368,4043,游戏“魔兽争霸3”中，高维修费用的人口下限是？,81|71|61|51,1|0|0|0,0
369,4043,游戏“魔兽争霸3”中，低维修费用的人口下限是？,51|61|71|81,1|0|0|0,0
370,4044,“上上下下左右左右BA”出自以下哪款游戏？,魂斗罗|超级马里奥|双截龙|恶魔城,1|0|0|0,0
371,4044,以下哪一个选项是“魔兽争霸3”的无敌作弊码？,whosyourdaddy|greedisgood|thereisnospoon|motherland,1|0|0|0,0
372,4044,“超级马里奥”中马里奥的双胞胎弟弟是？,路易基|瓦路易基|瓦里奥|奇里奥,1|0|0|0,0
373,4045,“塞尔达传说”的主角叫什么？,林克|塞尔达|米特娜|卓玛,1|0|0|0,0
374,4045,“电竞毒奶”指的是谁？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
375,4045,《魔兽争霸3》游戏中，被玩家们称作为“塔魔”的中国选手是？,infi|moon|sky|grubby,1|0|0|0,0
376,4046,众所周知，枪骑兵（lancer）的幸运等级是？,E|B|C|D,1|0|0|0,0
377,4046,游戏《无尽秘境》中，“精灵法师”的性别是？,女|男,1|0,0
378,4046,游戏《无尽秘境》中，一件装备最多强化多少次？,10|5|20|15,1|0|0|0,0
379,4047,游戏《无尽秘境》中，强化装备的结果，可能出现几种情况？,5|4|3|2,1|0|0|0,0
380,4047,游戏《无尽秘境》中，“帝国生命恢复药剂”恢复的血量为？,20000|30000|500|1000,1|0|0|0,0
381,4047,你会将本游戏？,推荐给朋友|不管不顾,1|0,0
382,4048,“大吉大利，晚上吃鸡”这句话最早出现于？,决胜21点|绝地求生|英雄联盟|堡垒之夜,1|0|0|0,0
383,4048,游戏《以撒的结合》中，以撒妈妈的高跟鞋是什么颜色的？,红色|黑色|绿色|棕色,1|0|0|0,0
384,4048,《刀剑神域》中，桐人的黑剑叫什么名字？,阐释者|逐暗者|闪烁之光|时穿剑,1|0|0|0,0
385,4049,《刀剑神域》中，桐人的白剑叫什么名字？,逐暗者|阐释者|闪烁之光|时穿剑,1|0|0|0,0
386,4049,鲁鲁修的geass是左眼还是右眼？,左眼|右眼,1|0,0
387,4049,鲁鲁修的机甲叫什么名字？,高文|兰斯洛特|格拉海德|莫德雷德,1|0|0|0,0
388,4050,真男人从不回头看什么？,爆炸|车祸|雪崩|海浪,1|0|0|0,0
389,4050,圣斗士星矢的大招是什么？,天马流星拳|庐山升龙霸|风翼天翔|钻石星尘,1|0|0|0,0
390,4050,小说《斗破苍穹》中，最高等级是？,斗帝|斗神|斗圣|斗尊,1|0|0|0,0
